,Ticker,freeCashFlow_RA,freeCashFlow_A,netChangeInCash_A,preferredStock_M,revenue,revenue_A,grossProfit_A,ebitda,eps,netIncome,dividendsPaid_A,Score
61,INTU,1.0042499999999999,0.7849999999999998,0.26416666666666666,0.0,3.041,2.734583333333333,2.212666666666667,0.7596666666666666,1.7916666666666667,0.48875,-0.1789166666666667,7.549708333333334
62,PANW,0.672275,0.4514833333333333,-0.05439166666666668,0.0,1.6551,1.2329916666666667,0.8604583333333334,0.03576666666666667,-0.22889355798280767,-0.06628333333333332,0.0,1.9930731086838591
63,FICO,0.11775625,0.10836008333333336,0.002386666666666666,0.0,0.34487,0.33622783333333334,0.2544287499999999,0.12584016666666667,3.1816666666666666,0.08706316666666668,0.0,3.896353375
64,CROX,0.124738,0.10292249999999999,0.006903333333333333,0.0,0.945162,0.6045293333333334,0.33587083333333334,0.15439225,2.0925,0.13155950000000002,0.0,3.338877333333333
65,KROS,-0.01782575,-0.014305249999999999,0.02277,0.075722,0.0,0.001675,0.0,-0.017133666666666665,-0.7640082499999998,-0.017398666666666663,0.0,-0.7783191666666666
66,SPOT,0.005250000000000002,0.03983333333333333,0.11816666666666666,0.0,3.166,2.4395833333333328,0.6276666666666667,-0.007249999999999993,-0.45774994985820205,-0.08708333333333333,0.0,2.472875050141798
67,KALU,-0.0514,-0.0024333333333333347,-0.017274999999999995,0.0,0.776,0.6018833333333333,0.05077500000000001,0.03189999999999999,-0.10159986933501523,-0.0016083333333333331,-0.011683333333333335,0.5571292973316515
68,NUE,2.03103925,1.1572168333333335,0.23555125000000002,0.0,8.723956,8.178005333333331,2.1463870000000003,1.8857966666666666,4.549166666666667,1.2775895833333333,-0.12572608333333332,18.60591475
69,ESTA,-0.0205225,-0.010741333333333332,0.002511916666666667,0.0,0.043813,0.031088166666666663,0.020375083333333332,-0.010797333333333334,-0.5381730470651801,-0.012872416666666666,0.0,-0.5218547553985134
70,PAG,0.294125,0.2697333333333333,0.006533333333333331,0.0,7.0118,6.151116666666667,1.038675,0.40926666666666667,3.349166666666667,0.2598000000000001,-0.030391666666666668,11.160454166666668
71,EXPE,0.0006945000000000423,-0.12943516666666668,-0.3409290833333332,1.022,2.618,2.1220000000000003,1.7166666666666668,0.08624999999999998,-1.492803529787895,-0.21588808333333334,-0.015833333333333335,-1.3576001964545616
72,AXON,0.0448415,0.018266083333333332,0.01526641666666667,0.0,0.336142,0.22785991666666663,0.14048991666666663,0.021111166666666667,0.09166666666666666,0.007116416666666667,0.0,0.61292625
73,EMBC,0.111075,0.11107500000000001,0.138875,0.0,0.2757,0.28371250000000003,0.1942375,0.10023750000000001,1.216315625,0.06470000000000001,-0.0043,1.831603125
74,INMD,0.04500075,0.036059249999999994,0.004401083333333334,0.0,0.133571,0.08482858333333333,0.07166808333333333,0.03789908333333333,0.41567866660186775,0.03346825,0.0,0.6538583332685345
75,BTU,0.23735,0.0822083333333333,0.05711666666666667,0.0,1.6261,0.9317749999999999,0.23437499999999997,0.06487502214450001,-0.6491978333333336,-0.06964999999999999,0.0,1.0584521888111664
76,AZPN,0.03255925,0.0548025,0.030466833333333332,0.0,0.242838,0.189748,0.15727625,0.08892399999999999,0.7825000000000001,0.05175383333333334,0.0,1.2307293750000001
77,PLL,-0.015387664239249999,-0.009101377752838083,-0.0030674238257137492,0.0,0.0,0.0,0.0,-636.7958616328958,-6459773.856751875,-763.6885430111666,0.0,-6460410.694673138
78,BH,0.02451975,0.02992925,-0.0026575833333333334,0.0,0.098458,0.09733499999999999,0.03604241666666667,0.007041666666666664,8.439231360271053,-0.0029013333333333335,0.0,8.573022985271054
79,FELE,0.00940654175,0.027189263916666664,-0.0015512499999999988,0.0,0.489431,0.41274225,0.14172191666666664,0.06126257775,0.7899999999999999,0.04947067883333334,-0.010610808916666667,1.3857502028333333
80,RS,0.44420000000000004,0.27838333333333337,0.08325833333333334,0.0,3.6108,3.3275166666666673,1.0241166666666668,0.4787416666666666,4.866666666666666,0.3019916666666667,-0.04651666666666668,10.035675
81,DDOG,0.0883795,0.0572705,-0.02157508333333333,0.0,0.469399,0.2756125,0.21634699999999996,0.004994166666666667,-0.025754249999999996,-0.007954333333333332,0.0,0.5705256666666667
82,NOC,0.3665,0.5419166666666667,0.027666666666666645,0.0,10.033,9.089,1.8516666666666668,2.0004166666666667,7.829759636596104,1.2575,-0.249,21.139009636596104
83,NUZE,-0.001948959,-0.0015422724999999999,0.0003884055833333333,0.0,0.001136348,0.00058575775,-2.5635750000000003e-05,-0.00303702194025,-0.2743175086276126,-0.0031305572735833326,0.0,-0.2793668715678626
84,GEHC,,0.4405,0.39699999999999996,0.0,4.938,2.3817500000000003,0.9485,0.456,0.3275,0.5714999999999999,0.0,
85,ESS,0.23844475,0.20423883333333334,-0.0032010833333333383,0.0,0.415183,0.3785931666666667,0.25725108333333335,0.31034225,1.87,0.12824608333333334,-0.13707350000000001,2.9388566250000006
86,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-49995.0
87,FRPT,-0.0683245,-0.059010416666666655,0.010271943666666667,0.0,0.165833,0.11163525008333336,0.04019133341666666,-0.0002353332500000002,-0.17093375,-0.007698333249999998,0.0,-0.13445129149999996
88,CPA,0.07304474999999999,0.047739166666666666,-0.0022120833333333346,0.0,0.809445,0.4222734166666667,0.1072576666666667,0.0008301666666666782,-0.5558333333333334,0.0,0.0,0.2198391249999999
89,EPAM,0.09561875,0.10990958333333334,0.06216233333333334,0.0,1.231303,0.9368599999999999,0.31161816666666664,0.1537683333333333,1.8100000000000003,0.10235233333333334,0.0,3.396269666666667
90,FSV,0.007071000000000001,0.032474916666666666,0.002088083333333333,0.0,1.020101,0.8139435,0.26058033333333336,0.07119091666666667,0.6549999999999999,0.03422725000000001,-0.007794916666666665,1.7676573333333334
91,GNRC,-0.006918,0.05815808333333333,-0.01584666666666666,0.0,1.049232,0.8989267500000001,0.3199783333333333,0.1688124166666667,1.6633333333333333,0.10789024999999998,-2.575e-05,2.910702291666667
92,VC,0.0215,0.011499999999999998,0.0044999999999999945,0.0,1.064,0.7564166666666668,0.07225,0.04775000000000001,0.3233333333333333,0.00958333333333333,-0.00016666666666666666,1.4179166666666667
93,WHR,0.20500000000000002,0.29675000000000007,0.0004999999999999819,0.0,4.923,5.097083333333334,0.9442499999999999,0.38575000000000004,1.4875,0.11224999999999997,-0.08658333333333333,7.642416666666667
